Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,1/28/2011,43.83,3.01,NA,NA,NA,NA,NA,212.20,7.74,FALSE
1,2/4/2011,42.27,2.99,NA,NA,NA,NA,NA,212.57,7.74,FALSE
1,2/11/2011,36.39,3.02,NA,NA,NA,NA,NA,212.94,7.74,TRUE
1,2/18/2011,57.36,3.05,NA,NA,NA,NA,NA,213.25,7.74,FALSE
1,2/25/2011,62.90,3.07,NA,NA,NA,NA,NA,213.54,7.74,FALSE
1,3/4/2011,59.58,3.29,NA,NA,NA,NA,NA,213.82,7.74,FALSE
1,3/11/2011,53.56,3.46,NA,NA,NA,NA,NA,214.11,7.74,FALSE
1,3/18/2011,62.76,3.49,NA,NA,NA,NA,NA,214.36,7.74,FALSE
1,3/25/2011,69.97,3.47,NA,NA,NA,NA,NA,214.60,7.74,FALSE
1,4/1/2011,59.17,3.52,NA,NA,NA,NA,NA,214.84,7.68,FALSE
1,4/8/2011,67.84,3.62,NA,NA,NA,NA,NA,215.07,7.68,FALSE
1,4/15/2011,71.27,3.74,NA,NA,NA,NA,NA,215.29,7.68,FALSE
1,4/22/2011,72.99,3.81,NA,NA,NA,NA,NA,215.46,7.68,FALSE
1,4/29/2011,72.03,3.81,NA,NA,NA,NA,NA,215.63,7.68,FALSE
1,5/6/2011,64.61,3.91,NA,NA,NA,NA,NA,215.80,7.68,FALSE
1,5/13/2011,75.64,3.90,NA,NA,NA,NA,NA,215.96,7.68,FALSE
1,5/20/2011,67.63,3.91,NA,NA,NA,NA,NA,215.73,7.68,FALSE
1,5/27/2011,77.72,3.79,NA,NA,NA,NA,NA,215.50,7.68,FALSE
1,6/3/2011,83.00,3.70,NA,NA,NA,NA,NA,215.27,7.68,FALSE
1,6/10/2011,83.13,3.65,NA,NA,NA,NA,NA,215.04,7.68,FALSE
1,6/17/2011,86.41,3.64,NA,NA,NA,NA,NA,215.00,7.68,FALSE
1,6/24/2011,83.58,3.59,NA,NA,NA,NA,NA,215.09,7.68,FALSE
1,7/1/2011,85.55,3.52,NA,NA,NA,NA,NA,215.18,7.96,FALSE
1,7/8/2011,85.83,3.48,NA,NA,NA,NA,NA,215.28,7.96,FALSE
1,7/15/2011,88.54,3.58,NA,NA,NA,NA,NA,215.36,7.96,FALSE
1,7/22/2011,85.77,3.65,NA,NA,NA,NA,NA,215.42,7.96,FALSE
1,7/29/2011,86.83,3.68,NA,NA,NA,NA,NA,215.48,7.96,FALSE
1,8/5/2011,91.65,3.68,NA,NA,NA,NA,NA,215.54,7.96,FALSE
1,8/12/2011,90.76,3.64,NA,NA,NA,NA,NA,215.61,7.96,FALSE
1,8/19/2011,89.94,3.55,NA,NA,NA,NA,NA,215.67,7.96,FALSE
1,8/26/2011,87.96,3.52,NA,NA,NA,NA,NA,215.73,7.96,FALSE
1,9/2/2011,87.83,3.53,NA,NA,NA,NA,NA,215.80,7.96,FALSE
1,9/9/2011,76.00,3.55,NA,NA,NA,NA,NA,215.86,7.96,TRUE
1,9/16/2011,79.94,3.53,NA,NA,NA,NA,NA,216.04,7.96,FALSE
1,9/23/2011,75.80,3.47,NA,NA,NA,NA,NA,216.38,7.96,FALSE
1,9/30/2011,79.69,3.36,NA,NA,NA,NA,NA,216.71,7.96,FALSE
1,10/7/2011,69.31,3.29,NA,NA,NA,NA,NA,217.05,7.87,FALSE
1,10/14/2011,71.74,3.27,NA,NA,NA,NA,NA,217.36,7.87,FALSE
1,10/21/2011,63.71,3.35,NA,NA,NA,NA,NA,217.52,7.87,FALSE
1,10/28/2011,66.57,3.37,NA,NA,NA,NA,NA,217.68,7.87,FALSE
1,11/4/2011,54.98,3.33,NA,NA,NA,NA,NA,217.84,7.87,FALSE
1,11/11/2011,59.11,3.30,10382.90,6115.67,215.07,2406.62,6551.42,218.00,7.87,FALSE
1,11/18/2011,62.25,3.31,6074.12,254.39,51.98,427.39,5988.57,218.22,7.87,FALSE
1,11/25/2011,60.14,3.24,410.31,98.00,55805.51,8.00,554.92,218.47,7.87,TRUE
1,12/2/2011,48.91,3.17,5629.51,68.00,1398.11,2084.64,20475.32,218.71,7.87,FALSE
1,12/9/2011,43.93,3.16,4640.65,19.00,105.02,3639.42,14461.82,218.96,7.87,FALSE
1,12/16/2011,51.63,3.16,5011.32,67.00,347.37,225.79,4011.37,219.18,7.87,FALSE
1,12/23/2011,47.96,3.11,2725.36,40.48,634.70,24.90,2739.43,219.36,7.87,FALSE
1,12/30/2011,44.55,3.13,5762.10,46011.38,260.36,983.65,4735.78,219.54,7.87,TRUE
1,1/6/2012,49.01,3.16,6277.39,21813.16,143.10,1450.13,8483.00,219.71,7.35,FALSE
1,1/13/2012,48.53,3.26,5183.29,8025.87,42.24,453.08,3719.38,219.89,7.35,FALSE
1,1/20/2012,54.11,3.27,4139.87,2807.19,33.88,500.62,3400.21,219.99,7.35,FALSE
1,1/27/2012,54.26,3.29,1164.46,1082.74,44.00,11.00,1222.19,220.08,7.35,FALSE
1,2/3/2012,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.40,220.17,7.35,FALSE
1,2/10/2012,48.02,3.41,13925.06,6927.23,101.64,8471.88,6886.04,220.27,7.35,TRUE
1,2/17/2012,45.32,3.51,9873.33,11062.27,9.80,8409.31,3402.66,220.43,7.35,FALSE
1,2/24/2012,57.25,3.56,9349.61,7556.01,3.20,1219.92,8143.59,220.64,7.35,FALSE
1,3/2/2012,60.96,3.63,15441.40,1569.00,10.80,25390.88,8067.61,220.85,7.35,FALSE
1,3/9/2012,58.76,3.67,10331.04,151.88,6.00,671.43,5509.84,221.06,7.35,FALSE
1,3/16/2012,64.74,3.73,4298.16,7.50,2.02,2724.65,2017.69,221.21,7.35,FALSE
1,3/23/2012,65.93,3.79,6118.56,9.48,4.97,426.72,3657.22,221.29,7.35,FALSE
1,3/30/2012,67.61,3.85,10309.58,0.50,10.25,1654.17,2642.78,221.36,7.35,FALSE
1,4/6/2012,70.43,3.89,10121.97,NA,77.98,3750.59,4510.72,221.44,7.14,FALSE
1,4/13/2012,69.07,3.89,6186.19,3288.69,17.07,1822.55,1063.78,221.51,7.14,FALSE
1,4/20/2012,66.76,3.88,2230.80,612.02,19.75,275.13,5747.10,221.56,7.14,FALSE
1,4/27/2012,67.23,3.81,3221.25,NA,35.49,577.14,6222.25,221.62,7.14,FALSE
1,5/4/2012,75.55,3.75,21290.13,NA,69.89,4977.35,3261.04,221.67,7.14,FALSE
1,5/11/2012,73.77,3.69,8351.40,NA,10.52,2443.14,3127.88,221.73,7.14,FALSE
1,5/18/2012,70.33,3.63,6154.14,NA,45.11,1675.49,5508.18,221.74,7.14,FALSE
1,5/25/2012,77.22,3.56,4039.39,NA,745.19,1429.96,3631.13,221.74,7.14,FALSE
1,6/1/2012,77.95,3.50,6086.21,12.00,370.51,148.75,3690.85,221.75,7.14,FALSE
1,6/8/2012,78.30,3.45,8813.81,116.80,64.55,2652.04,7161.91,221.75,7.14,FALSE
1,6/15/2012,79.35,3.39,5621.99,109.60,0.25,2420.28,3083.26,221.76,7.14,FALSE
1,6/22/2012,78.39,3.35,8624.56,171.25,3.05,2524.07,7063.68,221.80,7.14,FALSE
1,6/29/2012,84.88,3.29,3965.73,161.60,NA,435.99,4212.97,221.84,7.14,FALSE
1,7/6/2012,81.57,3.23,12218.76,94.40,192.83,4066.01,6149.04,221.88,6.91,FALSE
1,7/13/2012,77.12,3.26,7218.13,45.20,36.24,3909.38,2596.37,221.92,6.91,FALSE
1,7/20/2012,80.42,3.31,3213.00,313.72,9.53,2262.02,3228.19,221.93,6.91,FALSE
1,7/27/2012,82.66,3.41,7146.90,389.02,1.59,10267.54,4325.19,221.94,6.91,FALSE
1,8/3/2012,86.11,3.42,27584.78,119.98,30.23,12007.04,4661.71,221.95,6.91,FALSE
1,8/10/2012,85.05,3.49,11436.22,245.00,6.85,6964.26,4836.22,221.96,6.91,FALSE
1,8/17/2012,84.85,3.57,3662.06,137.86,4.84,2752.20,3446.15,222.04,6.91,FALSE
1,8/24/2012,77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.17,6.91,FALSE
1,8/31/2012,80.49,3.64,21442.73,102.32,21.70,13209.64,3032.96,222.31,6.91,FALSE
1,9/7/2012,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.44,6.91,TRUE
1,9/14/2012,74.97,3.72,17212.52,7.00,18.79,1523.11,7992.72,222.58,6.91,FALSE
1,9/21/2012,69.87,3.72,6352.30,7.64,4.69,1010.06,6456.71,222.78,6.91,FALSE
1,9/28/2012,76.08,3.67,3666.27,7.64,1.65,1417.96,4744.28,222.98,6.91,FALSE
1,10/5/2012,68.55,3.62,8077.89,NA,18.22,3617.43,3626.14,223.18,6.57,FALSE
1,10/12/2012,62.99,3.60,2086.18,NA,8.11,602.36,5926.45,223.38,6.57,FALSE
1,10/19/2012,67.97,3.59,950.33,NA,4.93,80.25,2312.85,223.43,6.57,FALSE
1,10/26/2012,69.16,3.51,2585.85,31.75,6.00,1057.16,1305.01,223.44,6.57,FALSE
1,11/2/2012,55.32,3.39,6766.44,5147.70,50.82,3639.90,2737.42,223.46,6.57,FALSE
1,11/9/2012,61.24,3.31,11421.32,3370.89,40.28,4646.79,6154.16,223.48,6.57,FALSE
1,11/16/2012,52.92,3.25,9696.28,292.10,103.78,1133.15,6612.69,223.51,6.57,FALSE
1,11/23/2012,56.23,3.21,883.59,4.17,74910.32,209.91,303.32,223.56,6.57,TRUE
1,11/30/2012,52.34,3.21,2460.03,NA,3838.35,150.57,6966.34,223.61,6.57,FALSE
1,12/7/2012,64.12,3.20,6343.16,NA,270.00,2928.90,10147.90,223.66,6.57,FALSE
1,12/14/2012,48.89,3.17,3504.83,NA,73.26,1636.80,2779.60,223.72,6.57,FALSE
1,12/21/2012,56.02,3.10,8231.71,NA,274.00,358.15,2834.02,223.84,6.57,FALSE
1,12/28/2012,44.79,3.11,12659.55,37101.13,174.78,74.46,1208.86,223.96,6.57,TRUE
1,1/4/2013,41.73,3.16,1214.08,25366.33,15.01,72.36,3940.02,224.08,6.53,FALSE
1,1/11/2013,50.32,3.24,6520.24,16134.60,12.17,774.55,4001.25,224.20,6.53,FALSE
1,1/18/2013,42.92,3.24,3772.69,3559.46,3.88,246.62,1900.40,224.24,6.53,FALSE
1,1/25/2013,53.37,3.23,965.89,1097.91,0.10,225.36,1831.88,224.24,6.53,FALSE
1,2/1/2013,56.46,3.24,9290.91,1359.90,265.00,20657.82,972.61,224.24,6.53,FALSE
1,2/8/2013,56.67,3.42,32355.16,729.80,280.89,20426.61,4671.78,224.24,6.53,TRUE
1,2/15/2013,49.66,3.48,72937.29,6665.52,47.21,13014.67,6310.18,224.28,6.53,FALSE
1,2/22/2013,50.25,3.60,20107.75,3163.89,42.20,15657.30,5812.86,224.42,6.53,FALSE
1,3/1/2013,48.01,3.71,10610.74,261.46,2.80,25.54,2747.59,224.56,6.53,FALSE
1,3/8/2013,50.81,3.66,5000.58,290.46,78.77,606.15,3697.11,224.71,6.53,FALSE
1,3/15/2013,55.33,3.62,3808.13,NA,15.65,2616.60,1909.17,224.84,6.53,FALSE
1,3/22/2013,63.42,3.61,12553.98,NA,495.10,6787.75,2545.66,224.92,6.53,FALSE
1,3/29/2013,51.00,3.61,13067.46,NA,384.90,122.93,3903.80,225.00,6.53,FALSE
1,4/5/2013,58.59,3.58,12872.34,5687.86,485.97,478.04,5092.33,225.09,6.31,FALSE
1,4/12/2013,62.72,3.53,3672.43,932.58,52.86,949.07,2836.64,225.17,6.31,FALSE
1,4/19/2013,67.10,3.45,3530.36,3.95,107.50,458.76,2062.05,225.17,6.31,FALSE
1,4/26/2013,59.23,3.42,2387.72,NA,98.34,516.28,1421.63,225.17,6.31,FALSE
1,5/3/2013,66.66,3.39,2298.63,2.00,129.90,55.46,1301.04,NA,NA,FALSE
1,5/10/2013,63.90,3.39,4624.61,83.88,42.38,1618.31,8144.90,NA,NA,FALSE
1,5/17/2013,69.53,3.45,16170.50,92.00,8.32,4127.24,6206.97,NA,NA,FALSE
1,5/24/2013,77.19,3.49,7959.89,178.00,1621.47,3152.57,2938.70,NA,NA,FALSE
1,5/31/2013,78.02,3.47,2369.77,142.45,475.35,45.55,2056.84,NA,NA,FALSE
1,6/7/2013,76.44,3.44,3514.75,742.59,116.15,1015.44,5137.09,NA,NA,FALSE
1,6/14/2013,79.86,3.43,12592.32,527.48,402.88,7474.56,2484.44,NA,NA,FALSE
1,6/21/2013,81.35,3.48,8104.02,417.99,327.33,5182.25,3754.44,NA,NA,FALSE
1,6/28/2013,83.94,3.50,4205.98,796.70,6.84,3816.78,4812.74,NA,NA,FALSE
1,7/5/2013,79.85,3.42,7649.99,3503.29,1766.77,9454.96,1079.89,NA,NA,FALSE
1,7/12/2013,83.12,3.40,6089.94,1362.42,209.62,2367.42,2651.05,NA,NA,FALSE
1,7/19/2013,79.26,3.56,3117.04,1060.39,199.05,1012.30,5381.72,NA,NA,FALSE
1,7/26/2013,81.54,3.62,332.17,673.19,1.00,38.63,1245.20,NA,NA,FALSE
2,2/5/2010,40.19,2.57,NA,NA,NA,NA,NA,210.75,8.32,FALSE
2,2/12/2010,38.49,2.55,NA,NA,NA,NA,NA,210.90,8.32,TRUE
2,2/19/2010,39.69,2.51,NA,NA,NA,NA,NA,210.95,8.32,FALSE
2,2/26/2010,46.10,2.56,NA,NA,NA,NA,NA,210.98,8.32,FALSE
2,3/5/2010,47.17,2.63,NA,NA,NA,NA,NA,211.01,8.32,FALSE
2,3/12/2010,57.56,2.67,NA,NA,NA,NA,NA,211.04,8.32,FALSE
2,3/19/2010,54.52,2.72,NA,NA,NA,NA,NA,210.87,8.32,FALSE
2,3/26/2010,51.26,2.73,NA,NA,NA,NA,NA,210.68,8.32,FALSE
2,4/2/2010,63.27,2.72,NA,NA,NA,NA,NA,210.48,8.20,FALSE
2,4/9/2010,65.41,2.77,NA,NA,NA,NA,NA,210.28,8.20,FALSE
2,4/16/2010,68.07,2.81,NA,NA,NA,NA,NA,210.15,8.20,FALSE
2,4/23/2010,65.11,2.80,NA,NA,NA,NA,NA,210.10,8.20,FALSE
2,4/30/2010,66.98,2.78,NA,NA,NA,NA,NA,210.05,8.20,FALSE
2,5/7/2010,71.28,2.84,NA,NA,NA,NA,NA,210.00,8.20,FALSE
2,5/14/2010,73.31,2.85,NA,NA,NA,NA,NA,210.00,8.20,FALSE
2,5/21/2010,74.83,2.83,NA,NA,NA,NA,NA,210.28,8.20,FALSE
2,5/28/2010,81.13,2.76,NA,NA,NA,NA,NA,210.56,8.20,FALSE
2,6/4/2010,81.81,2.71,NA,NA,NA,NA,NA,210.83,8.20,FALSE
2,6/11/2010,83.40,2.67,NA,NA,NA,NA,NA,211.11,8.20,FALSE
2,6/18/2010,85.81,2.64,NA,NA,NA,NA,NA,211.11,8.20,FALSE
2,6/25/2010,86.26,2.65,NA,NA,NA,NA,NA,211.00,8.20,FALSE
2,7/2/2010,82.74,2.67,NA,NA,NA,NA,NA,210.88,8.10,FALSE
2,7/9/2010,82.59,2.64,NA,NA,NA,NA,NA,210.77,8.10,FALSE
2,7/16/2010,85.32,2.62,NA,NA,NA,NA,NA,210.76,8.10,FALSE
2,7/23/2010,87.66,2.61,NA,NA,NA,NA,NA,210.89,8.10,FALSE
2,7/30/2010,83.49,2.64,NA,NA,NA,NA,NA,211.03,8.10,FALSE
2,8/6/2010,89.53,2.63,NA,NA,NA,NA,NA,211.16,8.10,FALSE
2,8/13/2010,89.05,2.69,NA,NA,NA,NA,NA,211.30,8.10,FALSE
2,8/20/2010,88.70,2.66,NA,NA,NA,NA,NA,211.26,8.10,FALSE
2,8/27/2010,87.12,2.62,NA,NA,NA,NA,NA,211.22,8.10,FALSE
2,9/3/2010,81.83,2.58,NA,NA,NA,NA,NA,211.19,8.10,FALSE
2,9/10/2010,79.09,2.57,NA,NA,NA,NA,NA,211.15,8.10,TRUE
2,9/17/2010,82.05,2.58,NA,NA,NA,NA,NA,211.18,8.10,FALSE
2,9/24/2010,81.79,2.62,NA,NA,NA,NA,NA,211.26,8.10,FALSE
2,10/1/2010,69.24,2.60,NA,NA,NA,NA,NA,211.33,8.16,FALSE
2,10/8/2010,63.19,2.63,NA,NA,NA,NA,NA,211.40,8.16,FALSE
2,10/15/2010,65.80,2.72,NA,NA,NA,NA,NA,211.47,8.16,FALSE
2,10/22/2010,68.50,2.73,NA,NA,NA,NA,NA,211.52,8.16,FALSE
2,10/29/2010,66.24,2.72,NA,NA,NA,NA,NA,211.57,8.16,FALSE
2,11/5/2010,57.85,2.69,NA,NA,NA,NA,NA,211.61,8.16,FALSE
2,11/12/2010,59.69,2.73,NA,NA,NA,NA,NA,211.66,8.16,FALSE
2,11/19/2010,50.81,2.77,NA,NA,NA,NA,NA,211.55,8.16,FALSE
2,11/26/2010,62.98,2.74,NA,NA,NA,NA,NA,211.41,8.16,TRUE
2,12/3/2010,49.33,2.71,NA,NA,NA,NA,NA,211.27,8.16,FALSE
2,12/10/2010,45.50,2.84,NA,NA,NA,NA,NA,211.12,8.16,FALSE
2,12/17/2010,47.55,2.87,NA,NA,NA,NA,NA,211.06,8.16,FALSE
2,12/24/2010,49.97,2.89,NA,NA,NA,NA,NA,211.06,8.16,FALSE
2,12/31/2010,47.30,2.94,NA,NA,NA,NA,NA,211.06,8.16,TRUE
2,1/7/2011,44.69,2.98,NA,NA,NA,NA,NA,211.06,8.03,FALSE
2,1/14/2011,33.02,2.98,NA,NA,NA,NA,NA,211.12,8.03,FALSE
2,1/21/2011,41.40,3.02,NA,NA,NA,NA,NA,211.49,8.03,FALSE
2,1/28/2011,42.83,3.01,NA,NA,NA,NA,NA,211.86,8.03,FALSE
2,2/4/2011,38.25,2.99,NA,NA,NA,NA,NA,212.22,8.03,FALSE
2,2/11/2011,33.19,3.02,NA,NA,NA,NA,NA,212.59,8.03,TRUE
2,2/18/2011,57.83,3.05,NA,NA,NA,NA,NA,212.90,8.03,FALSE
2,2/25/2011,60.80,3.07,NA,NA,NA,NA,NA,213.19,8.03,FALSE
2,3/4/2011,57.77,3.29,NA,NA,NA,NA,NA,213.48,8.03,FALSE
2,3/11/2011,52.70,3.46,NA,NA,NA,NA,NA,213.76,8.03,FALSE
2,3/18/2011,62.32,3.49,NA,NA,NA,NA,NA,214.02,8.03,FALSE
2,3/25/2011,69.42,3.47,NA,NA,NA,NA,NA,214.25,8.03,FALSE
2,4/1/2011,55.43,3.52,NA,NA,NA,NA,NA,214.49,7.93,FALSE
2,4/8/2011,67.00,3.62,NA,NA,NA,NA,NA,214.73,7.93,FALSE
2,4/15/2011,69.48,3.74,NA,NA,NA,NA,NA,214.94,7.93,FALSE
2,4/22/2011,69.39,3.81,NA,NA,NA,NA,NA,215.11,7.93,FALSE
2,4/29/2011,69.21,3.81,NA,NA,NA,NA,NA,215.28,7.93,FALSE
2,5/6/2011,61.48,3.91,NA,NA,NA,NA,NA,215.44,7.93,FALSE
2,5/13/2011,74.61,3.90,NA,NA,NA,NA,NA,215.61,7.93,FALSE
2,5/20/2011,67.14,3.91,NA,NA,NA,NA,NA,215.38,7.93,FALSE
2,5/27/2011,76.42,3.79,NA,NA,NA,NA,NA,215.15,7.93,FALSE
2,6/3/2011,83.07,3.70,NA,NA,NA,NA,NA,214.93,7.93,FALSE
2,6/10/2011,83.40,3.65,NA,NA,NA,NA,NA,214.70,7.93,FALSE
2,6/17/2011,86.53,3.64,NA,NA,NA,NA,NA,214.65,7.93,FALSE
2,6/24/2011,85.17,3.59,NA,NA,NA,NA,NA,214.74,7.93,FALSE
2,7/1/2011,85.69,3.52,NA,NA,NA,NA,NA,214.84,7.85,FALSE
2,7/8/2011,87.70,3.48,NA,NA,NA,NA,NA,214.93,7.85,FALSE
2,7/15/2011,89.83,3.58,NA,NA,NA,NA,NA,215.01,7.85,FALSE
2,7/22/2011,89.34,3.65,NA,NA,NA,NA,NA,215.07,7.85,FALSE
2,7/29/2011,90.07,3.68,NA,NA,NA,NA,NA,215.14,7.85,FALSE
2,8/5/2011,93.34,3.68,NA,NA,NA,NA,NA,215.20,7.85,FALSE
2,8/12/2011,91.58,3.64,NA,NA,NA,NA,NA,215.26,7.85,FALSE
2,8/19/2011,89.86,3.55,NA,NA,NA,NA,NA,215.32,7.85,FALSE
2,8/26/2011,90.45,3.52,NA,NA,NA,NA,NA,215.39,7.85,FALSE
2,9/2/2011,89.64,3.53,NA,NA,NA,NA,NA,215.45,7.85,FALSE
2,9/9/2011,77.97,3.55,NA,NA,NA,NA,NA,215.51,7.85,TRUE
2,9/16/2011,78.85,3.53,NA,NA,NA,NA,NA,215.69,7.85,FALSE
2,9/23/2011,75.58,3.47,NA,NA,NA,NA,NA,216.03,7.85,FALSE
2,9/30/2011,78.14,3.36,NA,NA,NA,NA,NA,216.36,7.85,FALSE
2,10/7/2011,69.92,3.29,NA,NA,NA,NA,NA,216.70,7.44,FALSE
2,10/14/2011,71.67,3.27,NA,NA,NA,NA,NA,217.00,7.44,FALSE
2,10/21/2011,64.53,3.35,NA,NA,NA,NA,NA,217.17,7.44,FALSE
2,10/28/2011,65.87,3.37,NA,NA,NA,NA,NA,217.33,7.44,FALSE
2,11/4/2011,55.53,3.33,NA,NA,NA,NA,NA,217.49,7.44,FALSE
2,11/11/2011,59.33,3.30,10797.64,20445.00,443.32,4754.07,4787.16,217.65,7.44,FALSE
2,11/18/2011,62.01,3.31,6490.92,1217.76,152.12,873.82,7656.42,217.87,7.44,FALSE
2,11/25/2011,56.36,3.24,919.71,62.00,77451.26,23.00,1589.43,218.11,7.44,TRUE
2,12/2/2011,48.74,3.17,8010.99,83.47,1897.27,4444.00,28238.93,218.36,7.44,FALSE
2,12/9/2011,41.76,3.16,11472.59,40.00,306.43,4160.55,8899.08,218.61,7.44,FALSE
2,12/16/2011,50.13,3.16,4908.83,61.03,341.49,469.80,4744.27,218.82,7.44,FALSE
2,12/23/2011,46.66,3.11,2971.04,15.18,1501.75,88.76,6437.61,219.00,7.44,FALSE
2,12/30/2011,44.57,3.13,8321.44,92523.94,139.53,1515.40,3027.69,219.18,7.44,TRUE
2,1/6/2012,46.75,3.16,5886.72,37454.29,121.16,2388.92,7103.97,219.36,7.06,FALSE
2,1/13/2012,45.99,3.26,4414.72,12092.63,98.38,708.18,4245.60,219.53,7.06,FALSE
2,1/20/2012,51.70,3.27,6552.26,4355.69,105.97,1703.10,3376.03,219.63,7.06,FALSE
2,1/27/2012,50.50,3.29,1920.15,1507.56,86.09,43.40,2613.53,219.72,7.06,FALSE
2,2/3/2012,55.21,3.36,75149.79,3818.85,221.40,48159.86,7423.61,219.81,7.06,FALSE
2,2/10/2012,46.98,3.41,13510.89,6674.42,94.07,14114.90,9577.83,219.90,7.06,TRUE
2,2/17/2012,43.82,3.51,13942.54,14273.24,15.76,4927.14,6650.08,220.07,7.06,FALSE
2,2/24/2012,54.63,3.56,13048.36,12059.10,10.20,5299.73,10380.03,220.28,7.06,FALSE
